#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
117,Guadeloupe,201852,,1010,,-,-,-,19,504890,2526,938039,2346306,399794,North America
118,El Salvador,201785,,4230,,179410,,18145,8,30805,646,2610114,398467,6550389,North America
119,Trinidad and Tobago,189296,,4347,,184553,,396,8,134578,3090,898169,638546,1406585,North America
120,Maldives,185732,,311,,163687,,21734,25,343322,575,2213831,4092223,540985,Asia
121,Ghana,171172,,1462,,169697,,13,2,5284,45,2529956,78096,32395450,Africa
122,Namibia,171156,,4090,,166776,,290,,64983,1553,1062663,403460,2633874,Africa
123,Uganda,170504,,3630,,100431,,66443,3,3520,75,3012408,62198,48432863,Africa
124,Jamaica,154196,,3502,,102393,,48301,,51655,1173,1183986,396633,2985094,North America
125,Cambodia,138719,,3056,,135657,,6,,8080,178,3091420,180062,17168639,Asia
126,Rwanda,133180,,1468,,131634,,78,,9792,108,6021981,442778,13600464,Africa
127,Cameroon,124392,,1965,,122344,,83,13,4457,70,1751774,62762,27911548,Africa
128,Malta,117477,,827,,116028,,622,4,264568,1862,2117102,4767893,444033,Europe
129,Barbados,106645,,575,,106057,,13,,370266,1996,794426,2758203,288023,North America
130,Angola,105277,,1933,,103317,,27,,3006,55,1499795,42818,35027343,Africa
131,Channel Islands,101382,,227,,101029,,126,,574523,1286,1252808,7099551,176463,Europe
132,French Guiana,98041,,420,,11254,,86367,6,312065,1337,651257,2072951,314169,South America
133,DRC,95749,,1464,,84321,,9964,,1005,15,846704,8890,95240792,Africa
134,Senegal,88921,,1971,,86947,,3,,5037,112,1146543,64946,17653671,Africa
135,Malawi,88702,,2686,,85580,,436,67,4395,133,624784,30959,20180839,Africa
136,Ivory Coast,88231,+23,834,,87363,+21,34,,3180,30,1679900,60554,27742298,Africa
137,Suriname,82467,,1404,,-,-,-,,138175,2352,241357,404398,596831,South America
138,New Caledonia,79881,,314,,79558,,9,9,274585,1079,98964,340182,290915,Australia/Oceania
139,French Polynesia,77957,,649,,-,-,-,7,274338,2284,,,284164,Australia/Oceania
140,Eswatini,74199,,1423,,72726,,50,,62625,1201,1048704,885119,1184817,Africa
141,Guyana,73075,+6,1298,,71756,+4,21,,92029,1635,722237,909567,794045,South America
142,Belize,70757,,688,,70056,,13,6,171661,1669,576016,1397453,412190,North America
143,Fiji,68897,,883,,66860,,1154,,75755,971,668967,735560,909466,Australia/Oceania
144,Madagascar,67865,,1422,,66433,,10,,2326,49,525461,18009,29178077,Africa
145,Sudan,63809,,5013,,58460,,336,,1387,109,562941,12240,45992020,Africa
146,Mauritania,63668,,997,,62441,,230,,12988,203,1009957,206030,4901981,Africa
147,Cabo Verde,63244,,413,,62773,,58,23,111408,728,401622,707482,567678,Africa
148,Bhutan,62620,,21,,61564,,1035,,79473,27,2303734,2923739,787941,Asia
149,Syria,57467,,3164,,54303,,0,,2968,163,146269,7553,19364809,Asia
150,Burundi,53631,,38,,53569,,24,,4248,3,345742,27386,12624840,Africa
151,Seychelles,50665,,172,,50440,,53,,509575,1730,,,99426,Africa
152,Gabon,48981,,306,,48674,,1,,21008,131,1621909,695641,2331533,Africa
153,Andorra,47875,,165,,47563,,147,14,618037,2130,249838,3225256,77463,Europe
154,Papua New Guinea,46809,,670,,43982,,2157,7,5037,72,249149,26813,9292169,Australia/Oceania
155,Curaçao,45986,,295,,44720,,971,3,277812,1782,496693,3000640,165529,North America
156,Aruba,44044,,236,,42438,,1370,2,409297,2193,177885,1653068,107609,North America
157,Tanzania,42846,,846,,-,-,-,7,677,13,,,63298550,Africa
158,Mayotte,42004,,188,,-,-,-,,146734,657,176919,618038,286259,Africa
159,Mauritius,41752,+35,1043,,40030,+18,679,,32754,818,358675,281374,1274727,Africa
160,Togo,39382,,290,,39078,,14,,4537,33,808447,93130,8680837,Africa
161,Guinea,38267,,467,,37757,,43,8,2760,34,660107,47607,13865691,Africa
162,Isle of Man,38008,,116,,-,-,-,,443335,1353,150753,1758422,85732,Europe
163,Bahamas,37491,,833,,36366,,292,1,93607,2080,257839,643767,400516,North America
164,Lesotho,34790,,723,,25980,,8087,,15990,332,431221,198199,2175699,Africa
165,Faeroe Islands,34658,,28,,-,-,-,5,703959,569,778000,15802409,49233,Europe
166,Haiti,34143,,860,,33044,,239,,2923,74,132422,11337,11680283,North America
167,Mali,33051,+6,743,,32145,+15,163,,1539,35,796406,37087,21473764,Africa
168,Cayman Islands,31472,,37,,8553,,22882,1,467797,550,222773,3311280,67277,North America
169,Saint Lucia,30004,,409,,29095,,500,,162085,2209,210983,1139752,185113,North America
170,Benin,27990,,163,,27825,,2,,2189,13,604310,47268,12784726,Africa
171,Somalia,27324,,1361,,13182,,12781,,1622,81,400466,23778,16841795,Africa
172,Congo,25375,,386,,24006,,983,,4377,67,347815,59991,5797805,Africa
173,Solomon Islands,24575,,153,,-,-,-,1,34077,212,,,721159,Australia/Oceania
174,Micronesia,23948,,61,,-,-,-,1,203832,519,54967,467848,117489,Australia/Oceania
175,San Marino,23583,,122,,23276,,185,4,691888,3579,157634,4624732,34085,Europe
176,Timor-Leste,23418,,138,,23102,,178,,17101,101,278529,203391,1369429,Asia
177,Burkina Faso,22056,,396,,21596,,64,,998,18,248995,11265,22102838,Africa
178,Liechtenstein,21426,,89,,21300,+2,37,1,558158,2318,112457,2929559,38387,Europe
179,Gibraltar,20433,+10,111,,16579,,3743,,606249,3293,534283,15852213,33704,Europe
180,Grenada,19680,,238,,19358,,84,4,173430,2097,182981,1612523,113475,North America
181,Bermuda,18814,,160,,18638,,16,,303750,2583,1027859,16594698,61939,North America
182,Nicaragua,18491,,225,,4225,,14041,,2728,33,,,6779100,North America
183,South Sudan,18368,,138,,18115,,115,1,1581,12,410280,35313,11618511,Africa
184,Tajikistan,17786,,125,,17264,,397,,1786,13,,,9957464,Asia
185,Equatorial Guinea,17229,,183,,16907,,139,5,11512,122,365697,244342,1496662,Africa
186,Tonga,16807,,13,,15638,,1156,,155983,121,535009,4965327,107749,Australia/Oceania
187,Samoa,16607,,29,,1605,,14973,,82116,143,187397,926612,202239,Australia/Oceania
188,Monaco,16115,,67,,15992,,56,4,405073,1684,78646,1976875,39783,Europe
189,Dominica,15760,,74,,15673,,13,,217848,1023,229344,3170187,72344,North America
190,Djibouti,15690,,189,,15427,,74,,15441,186,305941,301094,1016097,Africa
191,Marshall Islands,15618,,17,,15528,,73,,260053,283,,,60057,Australia/Oceania
192,CAR,15368,,113,,15200,,55,2,3063,23,81294,16205,5016678,Africa
193,Gambia,12586,,372,,12189,,25,,4919,145,155686,60851,2558482,Africa
194,Saint Martin,12257,,63,,1399,,10795,7,308507,1586,112382,2828643,39730,North America
195,Vanuatu,12014,,14,,11976,,24,,37330,44,24976,77606,321832,Australia/Oceania
196,Greenland,11971,,21,,2761,,9189,4,210117,369,164926,2894810,56973,North America
197,Yemen,11945,,2159,,9124,,662,23,383,69,329592,10579,31154867,Asia
198,Caribbean Netherlands,11676,,38,,10476,,1162,,438173,1426,30126,1130559,26647,North America
199,Sint Maarten,11020,,91,,10905,,24,-,250648,2070,62056,1411454,43966,North America
200,Eritrea,10189,,103,,10086,,0,,2782,28,23693,6470,3662244,Africa
201,Niger,9931,,312,,8890,,729,1,381,12,254538,9759,26083660,Africa
202,St. Vincent Grenadines,9589,,123,,9466,,0,,85961,1103,113703,1019292,111551,North America
203,Antigua and Barbuda,9106,,146,,8954,,6,1,91509,1467,18901,189943,99509,North America
204,Comoros,9001,,161,,8838,,2,,9919,177,,,907419,Africa
205,Guinea-Bissau,8960,,176,,8660,,124,6,4342,85,145231,70385,2063367,Africa
206,Liberia,8090,,295,,7783,,12,2,1525,56,139824,26356,5305117,Africa
207,Sierra Leone,7760,,126,,-,-,-,,934,15,259958,31296,8306436,Africa
208,Chad,7678,,194,,4874,,2610,,441,11,191341,10988,17413580,Africa
209,British Virgin Islands,7305,,64,,-,-,-,,238757,2092,107339,3508269,30596,North America
210,Cook Islands,7030,+2,2,,7027,+15,1,,400091,114,19690,1120596,17571,Australia/Oceania
211,Saint Kitts and Nevis,6597,+1,47,,6548,+1,2,,122459,872,126932,2356221,53871,North America
212,Turks and Caicos,6551,,38,,6491,,22,4,164842,956,611527,15387811,39741,North America
213,Sao Tome and Principe,6281,,77,,6204,,0,,27587,338,29036,127530,227679,Africa
214,Palau,5989,,9,,5976,,4,,328470,494,69136,3791806,18233,Australia/Oceania
215,St. Barth,5439,,6,,-,-,-,,546908,603,78646,7908095,9945,North America
216,Nauru,5247,,1,,5075,,171,,481244,92,20509,1881042,10903,Australia/Oceania
217,Kiribati,5013,,18,,2703,,2292,3,40618,146,,,123419,Australia/Oceania
218,Anguilla,3904,,12,,3879,,13,4,256336,788,51382,3373736,15230,North America
219,Macao,3514,,121,,3391,,2,,5264,181,7850,11760,667490,Asia
220,Saint Pierre Miquelon,3452,,2,,2449,,1001,1,599410,347,25400,4410488,5759,North America
221,Wallis and Futuna,3427,,7,,438,,2982,,312056,637,20508,1867419,10982,Australia/Oceania
222,Tuvalu,2805,,,,,,2805,,232471,,,,12066,Australia/Oceania
223,Saint Helena,2166,,,,2,,2164,,354211,,,,6115,Africa
224,Falkland Islands,1930,,,,1930,,0,,545352,,8632,2439107,3539,South America
225,Montserrat,1403,,8,,1376,,19,,282578,1611,17762,3577442,4965,North America
226,Niue,790,,,,784,,6,,487053,,,,1622,Australia/Oceania
227,Diamond Princess,712,,13,,699,,0,,,,,,,
228,Vatican City,29,,,,29,,0,,36295,,,,799,Europe
229,Western Sahara,10,,1,,9,,0,,16,2,,,626161,Africa
230,MS Zaandam,9,,2,,7,,0,,,,,,,
231,Tokelau,5,,,,,,5,,3628,,,,1378,Australia/Oceania
,Total:,680537978,+102416,6804654,+619,653341863,+145198,20391461,40638,87306.7,873.0,,,,All
